Date,City,District,Crime_Category,Arrest_Status,Case_Status
2024-01-01,Mumbai,District C,Theft,Not Arrested,Active
2024-01-01,Mumbai,District A,Theft,Not Arrested,Active
2024-01-01,Mumbai,District C,Assault,Not Arrested,Active
2024-01-01,Mumbai,District A,Vandalism,Arrested,Solved
2024-01-01,Mumbai,District A,Theft,Arrested,Solved
2024-01-02,Mumbai,District A,Assault,Arrested,Solved
2024-01-02,Mumbai,District A,Theft,Not Arrested,Active
2024-01-02,Mumbai,District B,Theft,Not Arrested,Active
2024-01-02,Mumbai,District A,Assault,Arrested,Solved
2024-01-02,Mumbai,District C,Burglary,Not Arrested,Active
2024-01-02,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-02,Mumbai,District C,Assault,Not Arrested,Solved
2024-01-02,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-03,Mumbai,District C,Assault,Not Arrested,Active
2024-01-03,Mumbai,District C,Vandalism,Arrested,Solved
2024-01-03,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-03,Mumbai,District C,Theft,Not Arrested,Active
2024-01-03,Mumbai,District C,Vandalism,Not Arrested,Solved
2024-01-03,Mumbai,District C,Burglary,Not Arrested,Solved
2024-01-04,Mumbai,District C,Theft,Not Arrested,Active
2024-01-04,Mumbai,District A,Theft,Not Arrested,Active
2024-01-04,Mumbai,District C,Burglary,Not Arrested,Active
2024-01-04,Mumbai,District B,Assault,Not Arrested,Active
2024-01-04,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-04,Mumbai,District A,Theft,Not Arrested,Active
2024-01-04,Mumbai,District A,Assault,Arrested,Solved
2024-01-04,Mumbai,District C,Burglary,Not Arrested,Active
2024-01-05,Mumbai,District B,Theft,Not Arrested,Solved
2024-01-05,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-05,Mumbai,District B,Assault,Arrested,Solved
2024-01-05,Mumbai,District A,Theft,Not Arrested,Active
2024-01-05,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-05,Mumbai,District D,Theft,Not Arrested,Active
2024-01-05,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-05,Mumbai,District A,Assault,Not Arrested,Active
2024-01-06,Mumbai,District B,Theft,Not Arrested,Active
2024-01-06,Mumbai,District A,Theft,Arrested,Solved
2024-01-06,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-06,Mumbai,District D,Burglary,Arrested,Solved
2024-01-06,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-06,Mumbai,District A,Theft,Not Arrested,Active
2024-01-06,Mumbai,District A,Vandalism,Not Arrested,Solved
2024-01-06,Mumbai,District B,Theft,Not Arrested,Active
2024-01-06,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-06,Mumbai,District A,Vandalism,Not Arrested,Solved
2024-01-06,Mumbai,District A,Theft,Arrested,Solved
2024-01-06,Mumbai,District D,Theft,Not Arrested,Solved
2024-01-07,Mumbai,District A,Theft,Not Arrested,Active
2024-01-07,Mumbai,District A,Theft,Not Arrested,Active
2024-01-07,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-07,Mumbai,District B,Theft,Not Arrested,Active
2024-01-07,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-07,Mumbai,District D,Traffic Violation,Arrested,Solved
2024-01-07,Mumbai,District B,Theft,Not Arrested,Active
2024-01-07,Mumbai,District C,Assault,Not Arrested,Active
2024-01-07,Mumbai,District B,Theft,Not Arrested,Active
2024-01-08,Mumbai,District A,Theft,Not Arrested,Active
2024-01-08,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-08,Mumbai,District D,Vandalism,Not Arrested,Active
2024-01-09,Mumbai,District B,Assault,Arrested,Solved
2024-01-09,Mumbai,District B,Theft,Not Arrested,Active
2024-01-09,Mumbai,District C,Theft,Not Arrested,Solved
2024-01-09,Mumbai,District C,Burglary,Arrested,Solved
2024-01-10,Mumbai,District B,Assault,Arrested,Solved
2024-01-10,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-10,Mumbai,District B,Assault,Not Arrested,Active
2024-01-10,Mumbai,District D,Burglary,Arrested,Solved
2024-01-10,Mumbai,District C,Vandalism,Arrested,Solved
2024-01-10,Mumbai,District B,Assault,Arrested,Solved
2024-01-10,Mumbai,District C,Assault,Arrested,Solved
2024-01-10,Mumbai,District C,Vandalism,Arrested,Solved
2024-01-11,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-01-11,Mumbai,District C,Theft,Not Arrested,Active
2024-01-11,Mumbai,District A,Theft,Not Arrested,Active
2024-01-11,Mumbai,District D,Burglary,Not Arrested,Active
2024-01-11,Mumbai,District C,Burglary,Not Arrested,Active
2024-01-11,Mumbai,District A,Theft,Not Arrested,Active
2024-01-11,Mumbai,District A,Theft,Not Arrested,Active
2024-01-11,Mumbai,District C,Vandalism,Not Arrested,Active
2024-01-11,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-11,Mumbai,District A,Theft,Not Arrested,Active
2024-01-11,Mumbai,District D,Vandalism,Arrested,Solved
2024-01-12,Mumbai,District D,Vandalism,Not Arrested,Active
2024-01-12,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-12,Mumbai,District D,Burglary,Not Arrested,Active
2024-01-12,Mumbai,District B,Theft,Not Arrested,Active
2024-01-12,Mumbai,District D,Vandalism,Arrested,Solved
2024-01-12,Mumbai,District D,Vandalism,Not Arrested,Active
2024-01-12,Mumbai,District A,Theft,Not Arrested,Active
2024-01-12,Mumbai,District B,Theft,Not Arrested,Active
2024-01-12,Mumbai,District C,Vandalism,Not Arrested,Active
2024-01-12,Mumbai,District C,Assault,Not Arrested,Active
2024-01-12,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-12,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-12,Mumbai,District C,Theft,Arrested,Solved
2024-01-12,Mumbai,District B,Vandalism,Arrested,Solved
2024-01-12,Mumbai,District B,Theft,Not Arrested,Active
2024-01-13,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-13,Mumbai,District A,Assault,Not Arrested,Active
2024-01-13,Mumbai,District D,Assault,Arrested,Solved
2024-01-13,Mumbai,District B,Theft,Not Arrested,Active
2024-01-14,Mumbai,District C,Assault,Not Arrested,Active
2024-01-14,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-15,Mumbai,District B,Assault,Arrested,Solved
2024-01-15,Mumbai,District B,Theft,Not Arrested,Active
2024-01-15,Mumbai,District A,Burglary,Arrested,Solved
2024-01-15,Mumbai,District B,Burglary,Not Arrested,Active
2024-01-15,Mumbai,District C,Theft,Not Arrested,Active
2024-01-16,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-16,Mumbai,District C,Theft,Not Arrested,Solved
2024-01-17,Mumbai,District C,Burglary,Arrested,Solved
2024-01-17,Mumbai,District A,Theft,Arrested,Solved
2024-01-17,Mumbai,District B,Assault,Not Arrested,Active
2024-01-18,Mumbai,District A,Vandalism,Not Arrested,Active
2024-01-18,Mumbai,District B,Theft,Not Arrested,Active
2024-01-18,Mumbai,District A,Theft,Not Arrested,Active
2024-01-18,Mumbai,District A,Theft,Not Arrested,Active
2024-01-19,Mumbai,District B,Theft,Not Arrested,Active
2024-01-19,Mumbai,District A,Theft,Not Arrested,Active
2024-01-19,Mumbai,District C,Theft,Arrested,Solved
2024-01-19,Mumbai,District D,Theft,Not Arrested,Active
2024-01-19,Mumbai,District B,Burglary,Not Arrested,Active
2024-01-19,Mumbai,District B,Theft,Not Arrested,Active
2024-01-19,Mumbai,District D,Theft,Not Arrested,Active
2024-01-19,Mumbai,District C,Assault,Arrested,Solved
2024-01-19,Mumbai,District C,Traffic Violation,Arrested,Solved
2024-01-19,Mumbai,District C,Theft,Not Arrested,Active
2024-01-19,Mumbai,District A,Vandalism,Arrested,Solved
2024-01-19,Mumbai,District C,Theft,Not Arrested,Active
2024-01-20,Mumbai,District B,Vandalism,Not Arrested,Active
2024-01-20,Mumbai,District B,Burglary,Not Arrested,Active
2024-01-20,Mumbai,District A,Theft,Not Arrested,Active
2024-01-20,Mumbai,District B,Theft,Not Arrested,Active
2024-01-20,Mumbai,District B,Assault,Not Arrested,Active
2024-01-20,Mumbai,District C,Assault,Arrested,Solved
2024-01-21,Mumbai,District B,Traffic Violation,Arrested,Solved
2024-01-21,Mumbai,District B,Assault,Not Arrested,Active
2024-01-21,Mumbai,District C,Theft,Not Arrested,Active
2024-01-21,Mumbai,District A,Theft,Not Arrested,Active
2024-01-21,Mumbai,District A,Burglary,Not Arrested,Active
2024-01-21,Mumbai,District A,Traffic Violation,Arrested,Solved
2024-01-21,Mumbai,District C,Vandalism,Not Arrested,Active
