Date,City,Electricity_Consumption,Renewable_Energy_Percent,Peak_Usage,Residential_Consumption,Commercial_Consumption,Industrial_Consumption
2024-01-01,Mumbai,5146.9,28.5,287.1,1801.4,1801.4,1544.1
2024-01-02,Mumbai,5498.6,28.8,311.8,1924.5,1924.5,1649.6
2024-01-03,Mumbai,4967.7,26.9,286.0,1738.7,1738.7,1490.3
2024-01-04,Mumbai,5214.1,24.4,287.8,1824.9,1824.9,1564.2
2024-01-05,Mumbai,5171.4,29.4,319.0,1810.0,1810.0,1551.4
2024-01-06,Mumbai,5121.2,27.6,296.1,1792.4,1792.4,1536.3
2024-01-07,Mumbai,5029.7,27.9,320.7,1760.4,1760.4,1508.9
2024-01-08,Mumbai,5104.3,30.2,286.7,1786.5,1786.5,1531.3
2024-01-09,Mumbai,5199.3,27.9,301.6,1819.8,1819.8,1559.8
2024-01-10,Mumbai,5250.1,25.6,302.3,1837.5,1837.5,1575.0
2024-01-11,Mumbai,5072.6,25.4,296.0,1775.4,1775.4,1521.8
2024-01-12,Mumbai,5704.1,25.8,345.5,1996.4,1996.4,1711.2
2024-01-13,Mumbai,5302.3,24.9,334.4,1855.8,1855.8,1590.7
2024-01-14,Mumbai,5274.7,17.2,324.1,1846.2,1846.2,1582.4
2024-01-15,Mumbai,5116.3,23.1,322.7,1790.7,1790.7,1534.9
2024-01-16,Mumbai,4975.0,21.2,276.9,1741.3,1741.3,1492.5
2024-01-17,Mumbai,5399.6,24.4,305.8,1889.9,1889.9,1619.9
2024-01-18,Mumbai,4875.8,30.9,295.5,1706.5,1706.5,1462.7
2024-01-19,Mumbai,5357.7,28.2,324.2,1875.2,1875.2,1607.3
2024-01-20,Mumbai,4993.3,23.9,284.5,1747.6,1747.6,1498.0
2024-01-21,Mumbai,5313.1,25.4,309.4,1859.6,1859.6,1593.9
2024-01-22,Mumbai,5193.1,18.6,328.8,1817.6,1817.6,1557.9
2024-01-23,Mumbai,5322.5,19.4,339.2,1862.9,1862.9,1596.8
2024-01-24,Mumbai,5397.4,24.9,306.0,1889.1,1889.1,1619.2
2024-01-25,Mumbai,5405.7,24.8,308.6,1892.0,1892.0,1621.7
2024-01-26,Mumbai,5264.0,24.6,324.2,1842.4,1842.4,1579.2
2024-01-27,Mumbai,5405.9,27.8,345.0,1892.1,1892.1,1621.8
