Date,City,Hospital_Count,Bed_Availability,Disease_Cases,Vaccination_Percent
2024-01-01,Mumbai,18,71.1,40,72.0
2024-01-02,Mumbai,18,70.2,37,72.2
2024-01-03,Mumbai,18,66.1,35,72.1
2024-01-04,Mumbai,18,71.1,38,71.8
2024-01-05,Mumbai,18,62.1,44,72.2
2024-01-06,Mumbai,18,69.2,39,72.2
2024-01-07,Mumbai,18,71.3,39,71.9
2024-01-08,Mumbai,18,62.8,45,72.1
2024-01-09,Mumbai,18,63.3,46,72.4
2024-01-10,Mumbai,18,65.9,40,72.3
2024-01-11,Mumbai,18,68.7,38,71.8
2024-01-12,Mumbai,18,65.5,43,71.9
2024-01-13,Mumbai,18,65.0,42,71.9
2024-01-14,Mumbai,18,62.2,40,72.0
2024-01-15,Mumbai,18,69.9,40,72.4
2024-01-16,Mumbai,18,68.8,43,71.9
2024-01-17,Mumbai,18,67.7,38,72.3
2024-01-18,Mumbai,18,69.5,37,72.2
2024-01-19,Mumbai,18,64.1,40,72.3
2024-01-20,Mumbai,18,71.9,46,72.0
2024-01-21,Mumbai,18,65.2,32,71.9
2024-01-22,Mumbai,18,67.7,37,72.4
2024-01-23,Mumbai,18,70.0,36,72.4
2024-01-24,Mumbai,18,68.3,40,72.3
2024-01-25,Mumbai,18,66.2,40,72.3
2024-01-26,Mumbai,18,72.8,37,72.3
2024-01-27,Mumbai,18,68.3,37,72.6
2024-01-28,Mumbai,18,71.7,37,72.5
2024-01-29,Mumbai,18,64.0,45,72.6
2024-01-30,Mumbai,18,65.3,42,72.4
2024-01-31,Mumbai,18,70.7,38,72.6
2024-02-01,Mumbai,18,68.9,50,72.6
2024-02-02,Mumbai,18,72.0,42,72.1
2024-02-03,Mumbai,18,64.3,41,72.1
2024-02-04,Mumbai,18,68.9,43,72.6
2024-02-05,Mumbai,18,64.3,38,72.7
2024-02-06,Mumbai,18,65.0,46,72.2
2024-02-07,Mumbai,18,67.2,46,72.8
