Date,City,AQI,PM2_5,PM10,CO,NO2,SO2
2024-01-01,Mumbai,109,50.5,82.3,0.9,29.8,6.6
2024-01-02,Mumbai,96,41.4,77.9,0.7,31.6,6.2
2024-01-03,Mumbai,79,34.9,58.4,0.65,20.1,4.8
2024-01-04,Mumbai,71,29.7,48.9,0.61,16.5,4.5
2024-01-05,Mumbai,80,35.3,60.3,0.7,21.0,4.5
2024-01-06,Mumbai,71,35.4,59.7,0.5,21.9,4.7
2024-01-07,Mumbai,108,49.8,80.8,0.92,31.6,7.6
2024-01-08,Mumbai,74,33.8,49.6,0.56,17.8,4.3
2024-01-09,Mumbai,12,5.4,14.1,0.11,2.6,0.8
2024-01-10,Mumbai,105,47.7,79.5,0.8,28.5,7.4
2024-01-11,Mumbai,102,41.5,64.7,0.82,30.3,5.9
2024-01-12,Mumbai,63,28.5,46.4,0.54,16.6,3.6
2024-01-13,Mumbai,72,32.3,63.5,0.61,21.4,4.3
2024-01-14,Mumbai,84,36.8,64.4,0.63,25.6,5.2
2024-01-15,Mumbai,30,20.7,26.3,0.24,6.5,2.3
2024-01-16,Mumbai,31,15.6,31.9,0.21,6.8,1.7
2024-01-17,Mumbai,101,47.1,71.3,0.85,25.9,5.6
2024-01-18,Mumbai,96,41.5,76.4,0.78,30.4,5.6
2024-01-19,Mumbai,95,46.4,70.8,0.83,27.7,4.5
2024-01-20,Mumbai,107,50.9,85.0,0.76,28.6,6.1
2024-01-21,Mumbai,85,43.5,63.7,0.68,24.9,5.4
2024-01-22,Mumbai,48,19.7,28.9,0.4,12.9,2.9
2024-01-23,Mumbai,32,13.5,29.6,0.33,10.4,1.3
2024-01-24,Mumbai,83,39.5,61.7,0.56,25.1,4.7
2024-01-25,Mumbai,104,47.0,85.7,0.83,29.1,7.0
2024-01-26,Mumbai,55,27.2,40.3,0.39,15.4,3.6
2024-01-27,Mumbai,80,40.4,58.5,0.59,21.8,4.2
2024-01-28,Mumbai,92,40.4,72.6,0.63,24.3,5.2
2024-01-29,Mumbai,75,30.4,57.4,0.59,23.1,4.8
2024-01-30,Mumbai,93,40.2,60.5,0.76,27.1,4.8
2024-01-31,Mumbai,58,26.9,45.2,0.41,15.1,2.6
2024-02-01,Mumbai,98,40.2,76.2,0.78,30.0,5.5
2024-02-02,Mumbai,72,27.3,44.3,0.61,16.6,4.2
2024-02-03,Mumbai,104,49.0,74.7,0.75,30.1,6.9
2024-02-04,Mumbai,91,38.5,65.6,0.76,27.9,4.8
2024-02-05,Mumbai,81,43.5,59.9,0.66,21.3,5.1
2024-02-06,Mumbai,106,48.6,88.2,0.83,29.2,6.5
2024-02-07,Mumbai,98,44.8,67.1,0.8,26.7,5.6
2024-02-08,Mumbai,72,29.5,48.3,0.45,23.7,4.6
2024-02-09,Mumbai,93,39.8,55.4,0.71,27.5,6.1
2024-02-10,Mumbai,67,30.6,56.8,0.52,20.9,3.8
2024-02-11,Mumbai,92,38.4,63.7,0.77,24.3,5.0
2024-02-12,Mumbai,12,6.4,13.8,0.12,1.9,0.8
2024-02-13,Mumbai,87,36.4,59.7,0.66,28.4,5.0
2024-02-14,Mumbai,117,51.2,92.2,0.98,34.7,7.2
2024-02-15,Mumbai,94,43.4,79.1,0.67,27.0,5.8
2024-02-16,Mumbai,80,37.7,52.5,0.61,18.4,5.6
2024-02-17,Mumbai,96,49.7,76.0,0.79,25.7,5.2
2024-02-18,Mumbai,67,29.9,43.6,0.46,16.8,4.9
2024-02-19,Mumbai,117,53.3,88.5,0.92,30.9,7.7
2024-02-20,Mumbai,108,45.9,80.6,0.84,29.4,7.1
2024-02-21,Mumbai,93,43.2,73.4,0.74,27.8,5.7
2024-02-22,Mumbai,107,43.6,78.5,0.85,24.6,5.9
