Date,City,Area,Average_Speed,Congestion_Index,Vehicle_Count,Peak_Hour,Accident_Count
2024-01-01,Mumbai,Downtown,11.5,91.3,58337,08:00 - 10:00,11
2024-01-01,Mumbai,Suburbs,50.7,29.7,26865,17:00 - 19:00,3
2024-01-01,Mumbai,Industrial,29.8,45.9,20575,08:00 - 10:00,4
2024-01-01,Mumbai,Residential,28.5,41.3,24741,17:00 - 19:00,2
2024-01-02,Mumbai,Downtown,10.2,92.4,60160,08:00 - 10:00,22
2024-01-02,Mumbai,Suburbs,47.3,30.6,28346,08:00 - 10:00,4
2024-01-02,Mumbai,Industrial,31.0,45.5,20887,17:00 - 19:00,2
2024-01-02,Mumbai,Residential,27.8,42.7,23141,17:00 - 19:00,4
2024-01-03,Mumbai,Downtown,12.7,92.7,60940,17:00 - 19:00,12
2024-01-03,Mumbai,Suburbs,41.1,35.8,28008,08:00 - 10:00,4
2024-01-03,Mumbai,Industrial,35.7,35.9,19275,17:00 - 19:00,2
2024-01-03,Mumbai,Residential,27.1,41.3,22821,17:00 - 19:00,5
2024-01-04,Mumbai,Downtown,15.1,87.3,57170,08:00 - 10:00,20
2024-01-04,Mumbai,Suburbs,49.5,28.5,27700,17:00 - 19:00,4
2024-01-04,Mumbai,Industrial,28.6,47.2,20408,17:00 - 19:00,2
2024-01-04,Mumbai,Residential,31.8,41.6,21911,17:00 - 19:00,4
2024-01-05,Mumbai,Downtown,12.5,87.8,62470,08:00 - 10:00,26
2024-01-05,Mumbai,Suburbs,45.7,31.1,24091,08:00 - 10:00,2
2024-01-05,Mumbai,Industrial,35.2,43.7,20953,08:00 - 10:00,2
2024-01-05,Mumbai,Residential,33.3,38.5,23434,08:00 - 10:00,4
2024-01-06,Mumbai,Downtown,19.2,42.7,29639,12:00 - 14:00,6
2024-01-06,Mumbai,Suburbs,48.4,36.5,29440,12:00 - 14:00,4
2024-01-06,Mumbai,Industrial,40.1,21.5,10061,12:00 - 14:00,1
2024-01-06,Mumbai,Residential,31.6,19.5,12242,12:00 - 14:00,1
2024-01-07,Mumbai,Downtown,21.7,43.7,31098,12:00 - 14:00,5
2024-01-07,Mumbai,Suburbs,45.8,34.9,30488,12:00 - 14:00,2
2024-01-07,Mumbai,Industrial,38.9,24.0,11341,12:00 - 14:00,1
2024-01-07,Mumbai,Residential,42.4,23.2,10342,12:00 - 14:00,1
2024-01-08,Mumbai,Downtown,13.3,87.9,65882,08:00 - 10:00,19
2024-01-08,Mumbai,Suburbs,44.3,36.9,26732,17:00 - 19:00,2
2024-01-08,Mumbai,Industrial,34.1,48.3,19939,08:00 - 10:00,2
2024-01-08,Mumbai,Residential,26.5,41.3,24664,17:00 - 19:00,4
2024-01-09,Mumbai,Downtown,10.0,99.0,60946,08:00 - 10:00,23
2024-01-09,Mumbai,Suburbs,28.9,58.5,27652,17:00 - 19:00,9
2024-01-09,Mumbai,Industrial,15.2,75.7,21411,17:00 - 19:00,9
2024-01-09,Mumbai,Residential,11.0,72.4,23937,08:00 - 10:00,9
2024-01-10,Mumbai,Downtown,19.2,82.0,56582,08:00 - 10:00,12
