Date,City,Daily_Passengers,Bus_Utilization,Metro_Ridership,Average_Delay,Route_Efficiency
2024-01-01,Mumbai,179410,67.4,107646,14.9,83.3
2024-01-02,Mumbai,180435,66.0,108261,14.1,83.5
2024-01-03,Mumbai,168644,61.2,101186,15.2,82.3
2024-01-04,Mumbai,184582,70.6,110749,16.4,79.0
2024-01-05,Mumbai,180563,64.5,108337,14.3,81.0
2024-01-06,Mumbai,101510,63.0,60906,11.1,86.5
2024-01-07,Mumbai,97812,62.8,58687,10.0,89.6
2024-01-08,Mumbai,176466,61.3,105879,16.0,86.3
2024-01-09,Mumbai,185608,53.2,120645,40.7,60.6
2024-01-10,Mumbai,199248,66.9,119548,17.6,78.9
2024-01-11,Mumbai,177587,63.7,106552,16.3,83.7
2024-01-12,Mumbai,188152,56.0,122298,25.0,76.9
2024-01-13,Mumbai,101690,66.5,61014,11.8,89.1
2024-01-14,Mumbai,103740,61.9,62244,11.3,86.1
2024-01-15,Mumbai,177671,63.4,115486,33.0,71.3
2024-01-16,Mumbai,173133,62.9,112536,27.7,71.8
2024-01-17,Mumbai,173721,64.0,104232,14.5,78.7
2024-01-18,Mumbai,172239,65.5,103343,17.9,82.1
2024-01-19,Mumbai,175035,65.7,105021,14.9,83.5
2024-01-20,Mumbai,102004,58.2,61202,12.4,86.1
2024-01-21,Mumbai,93300,66.2,55980,9.9,84.6
2024-01-22,Mumbai,185862,61.5,111517,17.9,76.1
2024-01-23,Mumbai,175948,55.9,114366,26.3,71.5
2024-01-24,Mumbai,182943,71.3,109765,18.4,80.3
2024-01-25,Mumbai,177882,69.9,106729,16.0,80.4
2024-01-26,Mumbai,177263,62.4,106357,15.3,83.0
2024-01-27,Mumbai,103282,66.0,61969,12.8,85.1
2024-01-28,Mumbai,96612,58.7,57967,10.2,86.4
2024-01-29,Mumbai,175049,60.6,113781,23.8,76.2
2024-01-30,Mumbai,183360,65.4,110016,17.6,79.2
2024-01-31,Mumbai,176053,62.7,105631,14.9,83.4
