Date,City,Water_Usage,Water_Loss,Reservoir_Level,Daily_Supply,Water_Quality
2024-01-01,Mumbai,967.9,17.3,70.3,1135.2,67.3
2024-01-02,Mumbai,979.0,16.0,60.6,1136.0,69.2
2024-01-03,Mumbai,958.3,18.8,50.8,1138.6,70.2
2024-01-04,Mumbai,891.1,18.0,42.0,1051.3,69.6
2024-01-05,Mumbai,879.4,15.0,33.2,1011.3,69.3
2024-01-06,Mumbai,917.3,16.3,24.1,1066.7,69.2
2024-01-07,Mumbai,951.4,17.9,20.0,1122.0,69.6
2024-01-08,Mumbai,864.9,18.9,20.0,1028.1,70.0
2024-01-09,Mumbai,951.9,17.3,100.0,1116.3,61.5
2024-01-10,Mumbai,980.6,18.1,90.1,1158.4,71.0
2024-01-11,Mumbai,952.9,19.8,80.7,1142.0,71.6
2024-01-12,Mumbai,949.5,19.0,98.2,1129.7,68.7
2024-01-13,Mumbai,877.1,16.9,92.1,1025.6,69.3
2024-01-14,Mumbai,914.9,20.2,82.8,1099.8,69.4
2024-01-15,Mumbai,940.4,18.2,100.0,1111.7,65.9
2024-01-16,Mumbai,954.5,17.9,100.0,1124.9,65.5
2024-01-17,Mumbai,935.1,18.8,90.6,1111.1,69.3
2024-01-18,Mumbai,918.4,17.7,81.5,1080.7,69.8
2024-01-19,Mumbai,970.1,18.6,71.9,1150.3,69.6
2024-01-20,Mumbai,937.7,18.2,62.5,1108.5,69.8
2024-01-21,Mumbai,931.8,17.7,56.6,1096.5,67.9
2024-01-22,Mumbai,917.3,19.0,47.5,1091.3,69.2
2024-01-23,Mumbai,947.1,17.7,76.8,1114.7,68.2
2024-01-24,Mumbai,953.5,16.9,67.1,1114.5,70.9
2024-01-25,Mumbai,973.7,19.6,57.3,1164.8,70.0
2024-01-26,Mumbai,953.0,18.8,47.8,1131.9,69.5
2024-01-27,Mumbai,908.8,18.1,38.7,1073.7,71.1
2024-01-28,Mumbai,958.4,18.4,29.2,1134.7,70.9
2024-01-29,Mumbai,977.5,18.7,46.2,1160.7,67.0
2024-01-30,Mumbai,961.3,16.1,36.6,1115.6,69.8
2024-01-31,Mumbai,920.8,21.2,27.5,1115.9,70.4
2024-02-01,Mumbai,951.0,17.5,20.0,1117.3,71.1
2024-02-02,Mumbai,932.0,17.9,20.0,1098.8,71.9
2024-02-03,Mumbai,963.3,16.4,20.0,1121.0,68.7
2024-02-04,Mumbai,954.6,19.2,20.0,1137.4,70.5
2024-02-05,Mumbai,940.3,17.7,20.0,1106.6,69.9
2024-02-06,Mumbai,968.6,18.0,20.0,1142.6,68.7
2024-02-07,Mumbai,971.8,18.5,20.0,1151.2,68.5
2024-02-08,Mumbai,934.6,19.4,20.0,1116.2,70.3
2024-02-09,Mumbai,944.8,18.4,20.0,1118.3,69.9
2024-02-10,Mumbai,932.1,19.1,20.0,1110.0,68.9
2024-02-11,Mumbai,924.5,18.3,20.0,1093.9,71.2
2024-02-12,Mumbai,950.1,17.0,81.4,1111.7,64.6
2024-02-13,Mumbai,967.2,16.2,78.2,1123.7,70.0
2024-02-14,Mumbai,1023.2,17.5,68.2,1201.9,70.2
2024-02-15,Mumbai,979.5,17.5,73.0,1151.1,68.0
2024-02-16,Mumbai,1023.0,16.9,72.7,1196.4,71.1
2024-02-17,Mumbai,969.8,17.7,64.5,1141.4,69.9
2024-02-18,Mumbai,903.3,18.1,55.3,1066.9,70.6
2024-02-19,Mumbai,959.7,17.4,45.6,1126.4,69.3
2024-02-20,Mumbai,937.8,19.5,36.3,1120.7,68.9
2024-02-21,Mumbai,964.1,17.2,26.6,1130.3,68.5
2024-02-22,Mumbai,920.8,18.2,20.0,1088.7,69.2
2024-02-23,Mumbai,947.9,19.7,60.9,1134.3,64.8
2024-02-24,Mumbai,946.6,18.8,51.5,1124.3,68.6
2024-02-25,Mumbai,904.0,19.2,42.3,1077.4,68.4
2024-02-26,Mumbai,947.4,18.4,49.9,1121.6,71.1
2024-02-27,Mumbai,941.8,19.4,71.4,1124.3,65.3
2024-02-28,Mumbai,915.1,15.9,100.0,1060.4,62.5
2024-02-29,Mumbai,947.0,18.6,90.4,1123.0,71.0
2024-03-01,Mumbai,921.7,17.8,83.8,1085.7,69.3
2024-03-02,Mumbai,963.3,17.7,74.3,1133.9,69.7
2024-03-03,Mumbai,936.3,19.9,64.9,1122.8,70.0
2024-03-04,Mumbai,1017.3,18.0,54.6,1200.4,69.7
2024-03-05,Mumbai,914.6,16.9,45.5,1069.5,69.9
2024-03-06,Mumbai,945.5,19.4,35.9,1129.1,70.1
2024-03-07,Mumbai,1007.0,17.5,25.9,1183.0,70.0
2024-03-08,Mumbai,956.8,19.0,20.0,1138.1,70.5
2024-03-09,Mumbai,930.8,18.8,20.0,1105.5,68.4
